game,msgs_raw,msgs_nosel,rounds,score,score_anomaly,utterances,pairs,unpaired,first_speaker,drop_reason,kept
0_550_1442_22,128,96,5,28,False,61,30,1,550,,True
1000_543_633_0,93,60,5,26,False,48,24,0,633,below_floor,False
1001_580_1293_35,111,70,5,17,False,47,23,1,580,below_floor,False
1002_257_921_53,105,73,5,30,False,55,27,1,921,,True
1003_875_303_54,103,72,5,28,False,45,22,1,303,below_floor,False
1004_807_419_53,98,68,5,28,False,51,25,1,807,,True
1005_285_179_32,127,97,5,28,False,82,41,0,179,,True
1006_419_221_32,113,83,5,28,False,60,30,0,419,,True
1007_419_420_14,104,73,5,27,False,57,28,1,419,,True
1008_408_420_38,109,79,5,25,False,65,32,1,408,,True
1009_919_627_37,114,80,5,27,False,62,31,0,919,,True
100_1109_1110_38,131,100,5,26,False,72,36,0,1109,,True
1010_284_285_35,121,90,5,27,False,63,31,1,285,,True
1011_92_627_21,105,73,5,28,False,48,24,0,92,below_floor,False
1012_363_1463_24,108,78,5,28,False,68,34,0,363,,True
1013_627_284_51,116,84,5,30,False,57,28,1,627,,True
1014_331_332_30,129,97,5,28,False,70,35,0,332,,True
1015_681_682_10,111,80,5,30,False,56,28,0,682,,True
1016_919_929_24,110,79,5,30,False,47,23,1,929,below_floor,False
1017_364_773_45,112,80,5,25,False,54,27,0,364,,True
1018_92_93_1,111,76,5,30,False,50,25,0,92,,True
1019_975_976_37,117,84,5,21,False,60,30,0,976,,True
101_562_853_38,96,66,5,29,False,47,23,1,562,below_floor,False
1020_929_263_37,120,88,5,28,False,57,28,1,929,,True
1021_929_1271_22,111,81,5,28,False,56,28,0,929,,True
1022_420_238_30,107,76,5,29,False,57,28,1,238,,True
1023_681_929_30,115,85,5,30,False,56,28,0,929,,True
1024_733_734_12,135,104,5,26,False,69,34,1,733,,True
1025_929_40_7,115,85,5,30,False,60,30,0,929,,True
1026_681_1333_7,117,85,5,30,False,55,27,1,1333,,True
1027_382_1418_7,129,94,5,30,False,68,34,0,1418,,True
1028_261_929_40,100,70,5,30,False,48,24,0,929,below_floor,False
1029_267_681_8,89,57,5,28,False,39,19,1,681,below_floor,False
102_506_1506_38,121,90,5,28,False,66,33,0,506,,True
1030_696_1333_18,131,99,5,30,False,80,40,0,1333,,True
1031_733_89_42,117,86,5,30,False,55,27,1,733,,True
1032_906_994_42,107,77,5,30,False,53,26,1,994,,True
1033_760_443_32,108,77,5,30,False,56,28,0,443,,True
1034_34_245_0,119,89,5,27,False,64,32,0,245,,True
1035_733_760_32,113,82,5,27,False,59,29,1,733,,True
1036_1337_712_23,131,100,5,28,False,78,39,0,1337,,True
1037_130_813_19,105,74,5,30,False,60,30,0,130,,True
1038_681_733_23,112,81,5,30,False,56,28,0,681,,True
1039_977_1121_23,110,80,5,30,False,53,26,1,1121,,True
103_752_280_46,110,80,5,30,False,62,31,0,752,,True
1040_902_903_35,116,85,5,30,False,55,27,1,903,,True
1041_101_803_53,116,85,5,30,False,50,25,0,803,,True
1042_233_1333_13,107,77,5,30,False,65,32,1,233,,True
1043_659_902_19,104,71,5,28,False,41,20,1,659,below_floor,False
1044_602_1242_19,141,111,5,30,False,80,40,0,602,,True
1045_444_723_32,102,72,5,28,False,58,29,0,723,,True
1046_529_362_32,135,105,5,29,False,75,37,1,362,,True
1047_990_1410_0,132,99,5,30,False,72,36,0,1410,,True
