N,k,beta,rho,gamma,nonstat,imbal,kind,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
40,2,0.0,0.0,0.0,False,1.0,type_I,0.06,0.0347,0.1019,200,0.045,0.0239,0.0833,200,0.065,0.0384,0.108,200,0.09,0.0577,0.1378,200
40,2,0.0,0.0,0.8,False,1.0,power,0.3518,0.2888,0.4203,199,0.3417,0.2794,0.41,199,0.3367,0.2747,0.4049,199,0.3266,0.2653,0.3945,199
40,2,0.0,0.0,0.0,False,4.0,type_I,0.05,0.0274,0.0896,200,0.03,0.0138,0.0639,200,0.04,0.0204,0.0769,200,0.085,0.0537,0.1319,200
40,2,0.0,0.0,0.8,False,4.0,power,0.2929,0.234,0.3598,198,0.2727,0.2155,0.3386,198,0.2929,0.234,0.3598,198,0.3232,0.262,0.3912,198
40,2,0.0,0.0,0.0,True,1.0,type_I,0.035,0.0171,0.0705,200,0.045,0.0239,0.0833,200,0.04,0.0204,0.0769,200,0.07,0.0422,0.1141,200
40,2,0.0,0.0,0.8,True,1.0,power,0.32,0.2593,0.3875,200,0.295,0.2361,0.3616,200,0.325,0.2639,0.3927,200,0.315,0.2546,0.3824,200
40,2,0.0,0.0,0.0,True,4.0,type_I,0.0402,0.0205,0.0773,199,0.0352,0.0171,0.0708,199,0.0452,0.024,0.0837,199,0.0804,0.0501,0.1266,199
40,2,0.0,0.0,0.8,True,4.0,power,0.2727,0.2155,0.3386,198,0.2626,0.2063,0.328,198,0.2929,0.234,0.3598,198,0.2778,0.2201,0.3439,198
40,2,0.0,0.5,0.0,False,1.0,type_I,0.0352,0.0171,0.0708,199,0.0302,0.0139,0.0642,199,0.0452,0.024,0.0837,199,0.0704,0.0424,0.1146,199
40,2,0.0,0.5,0.8,False,1.0,power,0.3434,0.2808,0.412,198,0.3384,0.2761,0.4068,198,0.3586,0.2951,0.4275,198,0.3182,0.2573,0.386,198
40,2,0.0,0.5,0.0,False,4.0,type_I,0.045,0.0239,0.0833,200,0.0302,0.0139,0.0642,199,0.055,0.031,0.0958,200,0.04,0.0204,0.0769,200
40,2,0.0,0.5,0.8,False,4.0,power,0.27,0.2132,0.3354,200,0.25,0.1951,0.3143,200,0.275,0.2178,0.3407,200,0.295,0.2361,0.3616,200
40,2,0.0,0.5,0.0,True,1.0,type_I,0.06,0.0347,0.1019,200,0.05,0.0274,0.0896,200,0.065,0.0384,0.108,200,0.06,0.0347,0.1019,200
40,2,0.0,0.5,0.8,True,1.0,power,0.265,0.2087,0.3302,200,0.245,0.1906,0.309,200,0.27,0.2132,0.3354,200,0.26,0.2041,0.3249,200
40,2,0.0,0.5,0.0,True,4.0,type_I,0.0253,0.0108,0.0577,198,0.0152,0.0052,0.0438,197,0.0455,0.0241,0.0841,198,0.0354,0.0172,0.0712,198
40,2,0.0,0.5,0.8,True,4.0,power,0.3182,0.2573,0.386,198,0.298,0.2386,0.365,198,0.3384,0.2761,0.4068,198,0.3384,0.2761,0.4068,198
40,2,2.0,0.0,0.0,False,1.0,type_I,0.03,0.0138,0.0639,200,0.02,0.0078,0.0503,200,0.045,0.0239,0.0833,200,0.075,0.046,0.12,200
40,2,2.0,0.0,0.8,False,1.0,power,0.2718,0.2142,0.3382,195,0.2205,0.168,0.2838,195,0.2615,0.2049,0.3274,195,0.2564,0.2002,0.322,195
40,2,2.0,0.0,0.0,False,4.0,type_I,0.025,0.0107,0.0572,200,0.015,0.0051,0.0432,200,0.01,0.0027,0.0357,200,0.03,0.0138,0.0639,200
40,2,2.0,0.0,0.8,False,4.0,power,0.1929,0.1439,0.2537,197,0.1378,0.0964,0.193,196,0.1675,0.1218,0.2259,197,0.1878,0.1394,0.2481,197
40,2,2.0,0.0,0.0,True,1.0,type_I,0.0505,0.0277,0.0905,198,0.0455,0.0241,0.0841,198,0.0657,0.0388,0.1091,198,0.0606,0.035,0.1029,198
40,2,2.0,0.0,0.8,True,1.0,power,0.2161,0.1646,0.2784,199,0.201,0.1512,0.2621,199,0.2362,0.1825,0.2998,199,0.2915,0.2327,0.3581,199
40,2,2.0,0.0,0.0,True,4.0,type_I,0.0704,0.0424,0.1146,199,0.0402,0.0205,0.0773,199,0.0603,0.0348,0.1024,199,0.0653,0.0386,0.1085,199
40,2,2.0,0.0,0.8,True,4.0,power,0.235,0.1816,0.2984,200,0.2412,0.187,0.3052,199,0.265,0.2087,0.3302,200,0.27,0.2132,0.3354,200
40,2,2.0,0.5,0.0,False,1.0,type_I,0.0402,0.0205,0.0773,199,0.0352,0.0171,0.0708,199,0.0503,0.0275,0.09,199,0.0553,0.0311,0.0963,199
40,2,2.0,0.5,0.8,False,1.0,power,0.1818,0.1343,0.2414,198,0.1616,0.1169,0.2192,198,0.202,0.152,0.2634,198,0.2374,0.1835,0.3013,198
40,2,2.0,0.5,0.0,False,4.0,type_I,0.035,0.0171,0.0705,200,0.025,0.0107,0.0572,200,0.025,0.0107,0.0572,200,0.055,0.031,0.0958,200
40,2,2.0,0.5,0.8,False,4.0,power,0.215,0.1637,0.277,200,0.16,0.1157,0.2171,200,0.21,0.1593,0.2716,200,0.24,0.1861,0.3037,200
40,2,2.0,0.5,0.0,True,1.0,type_I,0.0804,0.0501,0.1266,199,0.0553,0.0311,0.0963,199,0.0754,0.0462,0.1206,199,0.1005,0.066,0.1501,199
40,2,2.0,0.5,0.8,True,1.0,power,0.2424,0.188,0.3067,198,0.2121,0.1609,0.2743,198,0.2273,0.1744,0.2905,198,0.2424,0.188,0.3067,198
40,2,2.0,0.5,0.0,True,4.0,type_I,0.07,0.0422,0.1141,200,0.045,0.0239,0.0833,200,0.065,0.0384,0.108,200,0.115,0.0779,0.1666,200
40,2,2.0,0.5,0.8,True,4.0,power,0.269,0.212,0.3349,197,0.2284,0.1753,0.2919,197,0.264,0.2073,0.3296,197,0.2893,0.2305,0.3562,197
100,2,0.0,0.0,0.0,False,1.0,type_I,0.07,0.0422,0.1141,200,0.05,0.0274,0.0896,200,0.085,0.0537,0.1319,200,0.09,0.0577,0.1378,200
100,2,0.0,0.0,0.8,False,1.0,power,0.5,0.4314,0.5686,200,0.5,0.4314,0.5686,200,0.505,0.4363,0.5735,200,0.505,0.4363,0.5735,200
100,2,0.0,0.0,0.0,False,4.0,type_I,0.07,0.0422,0.1141,200,0.055,0.031,0.0958,200,0.06,0.0347,0.1019,200,0.06,0.0347,0.1019,200
100,2,0.0,0.0,0.8,False,4.0,power,0.515,0.4461,0.5833,200,0.505,0.4363,0.5735,200,0.53,0.4609,0.598,200,0.505,0.4363,0.5735,200
100,2,0.0,0.0,0.0,True,1.0,type_I,0.065,0.0384,0.108,200,0.04,0.0204,0.0769,200,0.055,0.031,0.0958,200,0.06,0.0347,0.1019,200
100,2,0.0,0.0,0.8,True,1.0,power,0.525,0.456,0.5931,200,0.55,0.4808,0.6174,200,0.54,0.4708,0.6077,200,0.555,0.4857,0.6222,200
100,2,0.0,0.0,0.0,True,4.0,type_I,0.045,0.0239,0.0833,200,0.04,0.0204,0.0769,200,0.045,0.0239,0.0833,200,0.04,0.0204,0.0769,200
100,2,0.0,0.0,0.8,True,4.0,power,0.415,0.3489,0.4843,200,0.405,0.3394,0.4742,200,0.425,0.3585,0.4943,200,0.415,0.3489,0.4843,200
100,2,0.0,0.5,0.0,False,1.0,type_I,0.085,0.0537,0.1319,200,0.07,0.0422,0.1141,200,0.09,0.0577,0.1378,200,0.085,0.0537,0.1319,200
100,2,0.0,0.5,0.8,False,1.0,power,0.465,0.3972,0.5341,200,0.445,0.3778,0.5143,200,0.48,0.4118,0.549,200,0.485,0.4167,0.5539,200
100,2,0.0,0.5,0.0,False,4.0,type_I,0.05,0.0274,0.0896,200,0.06,0.0347,0.1019,200,0.07,0.0422,0.1141,200,0.05,0.0274,0.0896,200
100,2,0.0,0.5,0.8,False,4.0,power,0.495,0.4265,0.5637,200,0.515,0.4461,0.5833,200,0.5,0.4314,0.5686,200,0.52,0.451,0.5882,200
100,2,0.0,0.5,0.0,True,1.0,type_I,0.03,0.0138,0.0639,200,0.02,0.0078,0.0503,200,0.03,0.0138,0.0639,200,0.035,0.0171,0.0705,200
100,2,0.0,0.5,0.8,True,1.0,power,0.535,0.4659,0.6028,200,0.505,0.4363,0.5735,200,0.515,0.4461,0.5833,200,0.52,0.451,0.5882,200
100,2,0.0,0.5,0.0,True,4.0,type_I,0.04,0.0204,0.0769,200,0.035,0.0171,0.0705,200,0.045,0.0239,0.0833,200,0.045,0.0239,0.0833,200
100,2,0.0,0.5,0.8,True,4.0,power,0.4523,0.3847,0.5217,199,0.4422,0.3749,0.5117,199,0.4372,0.3701,0.5067,199,0.4372,0.3701,0.5067,199
100,2,2.0,0.0,0.0,False,1.0,type_I,0.04,0.0204,0.0769,200,0.045,0.0239,0.0833,200,0.07,0.0422,0.1141,200,0.06,0.0347,0.1019,200
100,2,2.0,0.0,0.8,False,1.0,power,0.425,0.3585,0.4943,200,0.41,0.3442,0.4792,200,0.44,0.373,0.5093,200,0.445,0.3778,0.5143,200
100,2,2.0,0.0,0.0,False,4.0,type_I,0.045,0.0239,0.0833,200,0.035,0.0171,0.0705,200,0.045,0.0239,0.0833,200,0.05,0.0274,0.0896,200
100,2,2.0,0.0,0.8,False,4.0,power,0.375,0.3109,0.4439,200,0.33,0.2686,0.3978,200,0.355,0.292,0.4235,200,0.37,0.3061,0.4388,200
100,2,2.0,0.0,0.0,True,1.0,type_I,0.065,0.0384,0.108,200,0.035,0.0171,0.0705,200,0.05,0.0274,0.0896,200,0.065,0.0384,0.108,200
100,2,2.0,0.0,0.8,True,1.0,power,0.43,0.3633,0.4993,200,0.425,0.3585,0.4943,200,0.425,0.3585,0.4943,200,0.435,0.3682,0.5043,200
100,2,2.0,0.0,0.0,True,4.0,type_I,0.0603,0.0348,0.1024,199,0.0553,0.0311,0.0963,199,0.0603,0.0348,0.1024,199,0.0553,0.0311,0.0963,199
100,2,2.0,0.0,0.8,True,4.0,power,0.4422,0.3749,0.5117,199,0.4271,0.3604,0.4966,199,0.4372,0.3701,0.5067,199,0.4472,0.3798,0.5167,199
100,2,2.0,0.5,0.0,False,1.0,type_I,0.055,0.031,0.0958,200,0.045,0.0239,0.0833,200,0.06,0.0347,0.1019,200,0.08,0.0498,0.126,200
100,2,2.0,0.5,0.8,False,1.0,power,0.35,0.2873,0.4184,200,0.32,0.2593,0.3875,200,0.35,0.2873,0.4184,200,0.365,0.3014,0.4337,200
100,2,2.0,0.5,0.0,False,4.0,type_I,0.045,0.0239,0.0833,200,0.03,0.0138,0.0639,200,0.05,0.0274,0.0896,200,0.055,0.031,0.0958,200
100,2,2.0,0.5,0.8,False,4.0,power,0.3417,0.2794,0.41,199,0.3618,0.2982,0.4306,199,0.3869,0.322,0.4561,199,0.3668,0.303,0.4357,199
100,2,2.0,0.5,0.0,True,1.0,type_I,0.055,0.031,0.0958,200,0.035,0.0171,0.0705,200,0.06,0.0347,0.1019,200,0.07,0.0422,0.1141,200
100,2,2.0,0.5,0.8,True,1.0,power,0.475,0.4069,0.544,200,0.46,0.3923,0.5292,200,0.455,0.3875,0.5242,200,0.495,0.4265,0.5637,200
100,2,2.0,0.5,0.0,True,4.0,type_I,0.04,0.0204,0.0769,200,0.03,0.0138,0.0639,200,0.05,0.0274,0.0896,200,0.05,0.0274,0.0896,200
100,2,2.0,0.5,0.8,True,4.0,power,0.435,0.3682,0.5043,200,0.415,0.3489,0.4843,200,0.43,0.3633,0.4993,200,0.41,0.3442,0.4792,200
250,3,0.0,0.0,0.0,False,1.0,type_I,0.065,0.0384,0.108,200,0.055,0.031,0.0958,200,0.055,0.031,0.0958,200,0.045,0.0239,0.0833,200
250,3,0.0,0.0,0.8,False,1.0,power,0.905,0.8564,0.9383,200,0.885,0.8334,0.9221,200,0.91,0.8622,0.9423,200,0.895,0.8448,0.9303,200
250,3,0.0,0.0,0.0,False,4.0,type_I,0.055,0.031,0.0958,200,0.045,0.0239,0.0833,200,0.055,0.031,0.0958,200,0.075,0.046,0.12,200
250,3,0.0,0.0,0.8,False,4.0,power,0.9,0.8506,0.9343,200,0.9,0.8506,0.9343,200,0.895,0.8448,0.9303,200,0.895,0.8448,0.9303,200
250,3,0.0,0.0,0.0,True,1.0,type_I,0.05,0.0274,0.0896,200,0.055,0.031,0.0958,200,0.05,0.0274,0.0896,200,0.05,0.0274,0.0896,200
250,3,0.0,0.0,0.8,True,1.0,power,0.9,0.8506,0.9343,200,0.905,0.8564,0.9383,200,0.92,0.874,0.9502,200,0.92,0.874,0.9502,200
250,3,0.0,0.0,0.0,True,4.0,type_I,0.055,0.031,0.0958,200,0.055,0.031,0.0958,200,0.06,0.0347,0.1019,200,0.055,0.031,0.0958,200
