N,k,beta,rho,gamma,nonstat,imbal,kind,mean_eps,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
23,2,0.0,0.0,0.0,False,1.0,type_I,0.0594,0.0336,0.0183,0.0607,298,0.0336,0.0183,0.0607,298,0.0336,0.0183,0.0607,298,0.2315,0.1873,0.2827,298
23,2,0.0,0.0,0.8,False,1.0,power,0.1421,0.2389,0.1937,0.2909,293,0.1877,0.1471,0.2364,293,0.2116,0.1687,0.262,293,0.4198,0.3647,0.477,293
23,2,0.0,0.0,0.0,False,4.0,type_I,0.0624,0.0646,0.0418,0.0987,294,0.0342,0.0187,0.0619,292,0.0612,0.0391,0.0947,294,0.2109,0.1681,0.2611,294
23,2,0.0,0.0,0.8,False,4.0,power,0.1333,0.1507,0.1142,0.1962,292,0.1399,0.1044,0.1848,286,0.1712,0.1324,0.2186,292,0.3699,0.3165,0.4266,292
23,2,0.0,0.0,0.0,True,1.0,type_I,0.0668,0.0673,0.044,0.1017,297,0.0404,0.0233,0.0693,297,0.0505,0.0308,0.0816,297,0.2424,0.1972,0.2943,297
23,2,0.0,0.0,0.8,True,1.0,power,0.1454,0.2237,0.1799,0.2747,295,0.1797,0.1401,0.2275,295,0.2068,0.1645,0.2566,295,0.4576,0.4017,0.5147,295
23,2,0.0,0.0,0.0,True,4.0,type_I,0.0569,0.0373,0.0209,0.0655,295,0.0171,0.0073,0.0393,293,0.0305,0.0161,0.057,295,0.2475,0.2017,0.2997,295
23,2,0.0,0.0,0.8,True,4.0,power,0.1451,0.2184,0.1749,0.2692,293,0.1869,0.1461,0.2358,289,0.2355,0.1905,0.2873,293,0.4403,0.3846,0.4975,293
23,2,0.0,0.5,0.0,False,1.0,type_I,0.067,0.0541,0.0335,0.086,296,0.0338,0.0185,0.0611,296,0.0439,0.0258,0.0737,296,0.2635,0.2166,0.3165,296
23,2,0.0,0.5,0.8,False,1.0,power,0.1301,0.1797,0.1401,0.2275,295,0.1429,0.1075,0.1875,294,0.1763,0.137,0.2238,295,0.3966,0.3425,0.4534,295
23,2,0.0,0.5,0.0,False,4.0,type_I,0.0523,0.0237,0.0115,0.0482,295,0.0103,0.0035,0.0299,291,0.0339,0.0185,0.0613,295,0.2034,0.1614,0.253,295
23,2,0.0,0.5,0.8,False,4.0,power,0.1538,0.2158,0.1724,0.2665,292,0.1655,0.1268,0.2131,284,0.2021,0.16,0.2518,292,0.3973,0.3428,0.4544,292
23,2,0.0,0.5,0.0,True,1.0,type_I,0.0581,0.0439,0.0258,0.0737,296,0.0237,0.0115,0.0482,295,0.0405,0.0233,0.0695,296,0.2331,0.1885,0.2845,296
23,2,0.0,0.5,0.8,True,1.0,power,0.1391,0.1837,0.1436,0.2319,294,0.1497,0.1134,0.1949,294,0.1973,0.1558,0.2465,294,0.3878,0.3338,0.4446,294
23,2,0.0,0.5,0.0,True,4.0,type_I,0.0601,0.0507,0.0309,0.0819,296,0.0375,0.0211,0.066,293,0.0709,0.0469,0.106,296,0.2568,0.2103,0.3094,296
23,2,0.0,0.5,0.8,True,4.0,power,0.1291,0.2172,0.1736,0.2682,290,0.1719,0.1326,0.22,285,0.2103,0.1674,0.2609,290,0.4,0.3453,0.4573,290
23,2,2.0,0.0,0.0,False,1.0,type_I,0.057,0.0471,0.0283,0.0776,297,0.0135,0.0052,0.0341,297,0.0539,0.0334,0.0857,297,0.2391,0.1941,0.2907,297
23,2,2.0,0.0,0.8,False,1.0,power,0.0976,0.1085,0.0779,0.1491,295,0.0915,0.0637,0.1299,295,0.1153,0.0837,0.1567,295,0.3051,0.2553,0.3599,295
23,2,2.0,0.0,0.0,False,4.0,type_I,0.0414,0.0341,0.0186,0.0617,293,0.014,0.0055,0.0354,286,0.0546,0.0339,0.0869,293,0.1911,0.1502,0.24,293
23,2,2.0,0.0,0.8,False,4.0,power,0.106,0.139,0.1041,0.1831,295,0.0976,0.0684,0.1374,287,0.1458,0.11,0.1906,295,0.3322,0.2809,0.3878,295
23,2,2.0,0.0,0.0,True,1.0,type_I,0.0608,0.047,0.0282,0.0773,298,0.0201,0.0093,0.0432,298,0.0369,0.0207,0.0649,298,0.2215,0.178,0.272,298
23,2,2.0,0.0,0.8,True,1.0,power,0.1347,0.1831,0.1431,0.2312,295,0.139,0.1041,0.1831,295,0.1627,0.125,0.2091,295,0.3593,0.3067,0.4156,295
23,2,2.0,0.0,0.0,True,4.0,type_I,0.0484,0.0268,0.0137,0.0521,298,0.0068,0.0019,0.0243,296,0.0336,0.0183,0.0607,298,0.1913,0.1507,0.2397,298
23,2,2.0,0.0,0.8,True,4.0,power,0.1327,0.2027,0.1606,0.2527,291,0.1608,0.1228,0.2079,286,0.1924,0.1513,0.2416,291,0.3505,0.298,0.407,291
23,2,2.0,0.5,0.0,False,1.0,type_I,0.0471,0.0203,0.0093,0.0435,296,0.0169,0.0073,0.0391,295,0.0236,0.0115,0.048,296,0.1892,0.1487,0.2377,296
23,2,2.0,0.5,0.8,False,1.0,power,0.0889,0.1096,0.0787,0.1506,292,0.0796,0.0536,0.1166,289,0.1164,0.0845,0.1583,292,0.2842,0.2356,0.3385,292
23,2,2.0,0.5,0.0,False,4.0,type_I,0.0444,0.0305,0.0161,0.057,295,0.0137,0.0053,0.0346,293,0.0441,0.0259,0.0739,295,0.2034,0.1614,0.253,295
23,2,2.0,0.5,0.8,False,4.0,power,0.0859,0.108,0.0771,0.1492,287,0.0669,0.0432,0.1021,284,0.1254,0.092,0.1688,287,0.2927,0.2431,0.3478,287
23,2,2.0,0.5,0.0,True,1.0,type_I,0.0581,0.0407,0.0234,0.0697,295,0.0102,0.0035,0.0296,294,0.0508,0.0311,0.0822,295,0.2203,0.1768,0.2711,295
23,2,2.0,0.5,0.8,True,1.0,power,0.1386,0.1939,0.1528,0.2429,294,0.1297,0.096,0.173,293,0.1803,0.1405,0.2282,294,0.4286,0.3733,0.4857,294
23,2,2.0,0.5,0.0,True,4.0,type_I,0.0377,0.0268,0.0137,0.0521,298,0.0169,0.0073,0.0391,295,0.0336,0.0183,0.0607,298,0.2181,0.175,0.2684,298
23,2,2.0,0.5,0.8,True,4.0,power,0.1196,0.1862,0.1456,0.235,290,0.1597,0.1219,0.2065,288,0.1931,0.1518,0.2424,290,0.369,0.3155,0.4259,290
23,3,0.0,0.0,0.0,False,1.0,type_I,0.2493,0.0467,0.028,0.0768,300,0.0368,0.0207,0.0647,299,0.05,0.0305,0.0808,300,0.24,0.1952,0.2914,300
23,3,0.0,0.0,0.8,False,1.0,power,0.3406,0.1839,0.1441,0.2318,299,0.1773,0.1381,0.2246,299,0.1873,0.1471,0.2354,299,0.4147,0.3603,0.4713,299
23,3,0.0,0.0,0.0,False,4.0,type_I,0.1986,0.0667,0.0436,0.1007,300,0.051,0.03,0.0853,255,0.0833,0.0571,0.1201,300,0.2733,0.226,0.3264,300
23,3,0.0,0.0,0.8,False,4.0,power,0.2718,0.1639,0.1262,0.2101,299,0.1699,0.1291,0.2204,259,0.1639,0.1262,0.2101,299,0.4381,0.383,0.4948,299
23,3,0.0,0.0,0.0,True,1.0,type_I,0.26,0.0767,0.0516,0.1124,300,0.0633,0.0409,0.0968,300,0.0767,0.0516,0.1124,300,0.2467,0.2013,0.2984,300
23,3,0.0,0.0,0.8,True,1.0,power,0.3382,0.1867,0.1466,0.2346,300,0.1867,0.1466,0.2346,300,0.1867,0.1466,0.2346,300,0.46,0.4045,0.5165,300
