corpus,conv,n_turns,readings_A,readings_B,H_A_min,H_A_max,H_B_min,H_B_max,omega_A_min,omega_A_max,omega_B_min,omega_B_max,gap_min,gap_max,gap_positive,gap_negative,absA_gt_absB,n_compared,empty_A,empty_B,score
C3,0_550_1442_22,30,29,29,-0.0,4.7004,-0.0,4.4594,-3.8269,4.5788,-4.0875,4.335,-5.2138,8.5181,13,16,16,29,0,0,28
C3,1002_257_921_53,27,26,26,-0.0,4.2479,-0.0,4.0875,-4.1427,4.0374,-3.4594,3.585,-5.0,6.8448,12,14,18,26,0,0,30
C3,1004_807_419_53,25,24,24,-0.0,4.1699,-0.0,4.2018,-2.585,3.8366,-2.3219,3.3219,-3.9069,2.9567,13,11,16,24,0,0,28
C3,1005_285_179_32,41,40,40,-0.0,4.2433,-0.0,4.0716,-4.1699,4.0114,-3.4594,3.585,-4.6645,4.1072,24,15,18,40,0,0,28
C3,1006_419_221_32,30,29,29,-0.0,4.7189,-0.0,6.0017,-3.7004,3.7004,-2.3239,5.0017,-5.3219,5.3219,16,13,21,29,0,0,28
C3,1007_419_420_14,28,27,27,-0.0,4.0,-0.0,4.3219,-2.7255,3.8074,-4.3219,4.0,-4.46,6.0,12,14,7,27,0,0,27
C3,1008_408_420_38,32,31,31,-0.0,3.7004,-0.0,4.1427,-3.2516,3.7004,-3.585,4.1427,-4.4782,6.5078,13,18,12,31,0,0,25
C3,1009_919_627_37,31,30,30,-0.0,4.2776,-0.0,3.8431,-3.4594,3.0,-3.7081,3.7081,-3.4857,5.6824,12,17,13,30,0,0,27
C3,100_1109_1110_38,36,35,35,-0.0,5.1113,2.0,5.2223,-3.1699,4.2018,-1.6927,2.9003,-3.1699,3.5092,15,19,19,35,0,0,26
C3,1010_284_285_35,31,30,30,-0.0,4.335,-0.0,4.7433,-3.7004,3.8522,-3.5216,3.3372,-7.0376,5.6371,15,15,16,30,0,0,27
C3,1012_363_1463_24,34,33,33,-0.0,4.1562,-0.0,4.2276,-2.8074,2.7255,-3.1699,3.4594,-4.9032,3.9438,14,17,17,33,0,0,28
C3,1013_627_284_51,28,27,27,-0.0,4.3923,-0.0,4.1219,-2.585,2.7255,-3.4594,3.9987,-4.9987,3.585,14,13,12,27,0,0,30
C3,1014_331_332_30,35,34,34,-0.0,4.5122,-0.0,4.6753,-4.5122,2.585,-3.9477,3.4594,-4.4594,3.9453,15,19,14,34,0,0,28
C3,1015_681_682_10,28,27,27,-0.0,5.1013,-0.0,4.8125,-3.1013,2.3219,-4.8125,4.1659,-3.3219,5.9069,12,15,9,27,0,0,30
C3,1017_364_773_45,27,26,26,-0.0,4.0374,1.0,4.1416,-3.7736,3.8431,-2.1219,2.1416,-3.3443,3.8745,13,13,14,26,0,0,25
C3,1018_92_93_1,25,24,24,1.585,4.0875,-0.0,3.9069,-2.415,1.623,-3.585,3.4594,-5.4371,3.6668,12,12,10,24,0,0,30
C3,1019_975_976_37,30,29,29,-0.0,4.7359,2.0,4.2737,-3.9292,2.9292,-1.9842,2.0,-5.618,3.7004,15,14,18,29,0,0,21
C3,1020_929_263_37,28,27,27,-0.0,3.9698,-0.0,3.9698,-3.7004,3.8074,-3.6645,3.9698,-5.2142,5.2917,12,15,12,27,0,0,28
C3,1021_929_1271_22,28,27,27,-0.0,4.0,1.0,4.1427,-3.0,3.1699,-2.7004,3.1427,-4.0,2.8845,13,13,13,27,0,0,28
C3,1022_420_238_30,28,27,27,-0.0,4.2516,-0.0,3.8747,-3.3219,4.0588,-3.4594,3.8747,-4.6732,5.4919,12,15,16,27,0,0,29
C3,1023_681_929_30,28,27,27,-0.0,4.2776,-0.0,4.3496,-3.7004,4.0588,-3.9698,3.8842,-5.3104,5.5229,13,13,9,27,0,0,30
C3,1024_733_734_12,34,33,33,-0.0,4.8791,-0.0,4.4586,-3.4594,3.0958,-4.2479,3.9069,-5.7004,5.6073,18,15,15,33,0,0,26
C3,1025_929_40_7,30,29,29,-0.0,4.0,2.0,5.1535,-4.0,3.9069,-2.5016,2.5016,-3.1289,5.1357,11,18,21,29,0,0,30
C3,1026_681_1333_7,27,26,26,-0.0,4.0588,-0.0,4.8252,-2.8074,3.1219,-4.6835,4.1524,-5.8893,7.7793,12,14,14,26,0,0,30
C3,1027_382_1418_7,34,33,33,-0.0,4.83,-0.0,4.6818,-3.1699,2.7255,-4.5821,4.5466,-6.2385,5.7276,15,18,16,33,0,0,30
C3,102_506_1506_38,33,32,32,-0.0,4.6579,-0.0,4.9232,-3.4183,4.1699,-4.5176,3.0,-5.1285,8.6875,16,15,11,32,0,0,28
C3,1030_696_1333_18,40,39,39,-0.0,3.9987,-0.0,4.0716,-3.5466,3.585,-4.0588,2.585,-5.247,6.3807,18,21,14,39,0,0,30
C3,1031_733_89_42,27,26,26,-0.0,4.5236,1.0,4.5973,-3.1867,3.0588,-2.5973,2.6777,-5.3753,4.5104,13,13,15,26,0,0,30
C3,1032_906_994_42,26,25,25,2.0,4.5671,2.0,4.6645,-2.5671,1.9821,-2.2439,2.1683,-3.4486,2.3041,14,11,11,25,0,0,30
C3,1033_760_443_32,28,27,27,1.0,4.2971,-0.0,3.9069,-1.7004,2.0795,-3.8074,3.1699,-4.6294,5.0071,15,12,10,27,0,0,30
C3,1034_34_245_0,32,31,31,-0.0,4.8008,-0.0,4.6235,-3.5069,4.8008,-3.4594,2.3219,-4.1956,4.7565,16,14,18,31,0,0,27
C3,1035_733_760_32,29,28,28,-0.0,3.875,-0.0,3.8431,-1.875,3.4183,-2.8074,3.1219,-4.875,5.4183,11,17,11,28,0,0,27
C3,1036_1337_712_23,39,38,38,1.0,4.3977,-0.0,5.0006,-2.9698,2.1461,-4.1219,4.3168,-3.9018,5.7069,21,17,14,38,0,0,28
C3,1037_130_813_19,30,29,29,-0.0,4.3923,1.585,4.3685,-3.1699,2.3923,-1.8745,1.9987,-4.2668,3.8517,12,17,16,29,0,0,30
C3,1038_681_733_23,28,27,27,-0.0,4.3219,-0.0,4.0588,-4.1066,4.2089,-2.8074,3.0588,-4.4594,4.8954,11,16,15,27,0,0,30
C3,1039_977_1121_23,26,25,25,-0.0,4.7889,-0.0,4.4537,-4.7889,4.2971,-4.4537,4.3868,-5.6151,5.2878,12,13,11,25,0,0,30
C3,103_752_280_46,31,30,30,1.0,4.2219,1.585,5.2725,-2.8074,2.875,-2.1757,3.2725,-4.5078,3.7402,14,16,15,30,0,0,30
C3,1040_902_903_35,27,26,26,-0.0,4.822,-0.0,4.5829,-4.2479,3.1699,-3.585,3.3219,-3.8741,4.0552,11,15,14,26,0,0,30
C3,1041_101_803_53,25,24,24,1.0,4.3923,-0.0,4.8156,-2.1699,2.9698,-3.9058,3.7216,-3.5848,6.8756,10,14,12,24,0,0,30
C3,1042_233_1333_13,32,31,31,-0.0,4.3219,-0.0,3.9069,-3.585,4.3219,-3.8366,2.7255,-5.585,6.5069,11,20,13,31,0,0,30
C3,1044_602_1242_19,40,39,39,-0.0,5.4837,-0.0,4.5726,-4.2219,5.4837,-3.4594,4.1427,-7.6814,7.3663,20,19,23,39,0,0,30
C3,1045_444_723_32,29,28,28,-0.0,3.9069,-0.0,4.7736,-2.3219,3.9069,-2.7736,3.3219,-4.9069,6.3104,13,15,17,28,0,0,28
C3,1046_529_362_32,37,36,36,-0.0,4.5639,1.0,4.9098,-3.4594,4.0958,-3.7363,3.5176,-4.3219,5.6244,19,17,23,36,0,0,29
C3,1047_990_1410_0,36,35,35,-0.0,4.694,1.0,4.9232,-4.5595,4.5595,-2.5561,2.7549,-6.4389,5.8634,18,17,23,35,0,0,30
C3,1048_2_3_35,31,30,30,-0.0,4.72,-0.0,4.7031,-3.3219,3.7004,-4.7031,4.2137,-4.0474,4.1565,15,15,12,30,0,0,30
C3,1049_858_285_18,33,32,32,-0.0,4.3923,-0.0,4.2479,-4.0588,4.3923,-2.3219,2.3219,-4.5406,4.7959,14,17,15,32,0,0,30
C3,104_979_1402_40,32,31,31,-0.0,4.5016,2.0,5.4871,-3.585,2.9292,-1.9167,3.4871,-3.8074,3.9058,13,17,23,31,0,0,28
C3,1050_1098_1126_59,28,27,27,2.0,4.5788,1.0,5.0096,-2.4576,2.5788,-2.1699,2.9116,-4.4852,3.3785,14,13,9,27,0,0,29
C3,1051_902_578_23,28,27,27,-0.0,4.5726,1.0,4.7736,-4.0,4.0875,-2.7736,2.9292,-4.9169,6.861,12,15,19,27,0,0,28
C3,1052_2_261_23,26,25,25,-0.0,4.5016,-0.0,4.335,-4.3035,4.0875,-4.1219,2.1699,-5.0562,5.7879,12,13,13,25,0,0,30
C3,1053_1098_245_23,28,27,27,-0.0,4.6235,1.0,5.4221,-3.9698,4.0588,-3.2433,2.9069,-3.5548,3.8163,13,14,15,27,0,0,27
C3,1054_578_1237_23,37,36,36,-0.0,4.3219,-0.0,4.1699,-3.3219,3.8074,-4.0,4.1699,-6.2433,5.663,19,17,20,36,0,0,28
C3,1056_578_579_32,29,28,28,-0.0,4.2821,-0.0,4.2737,-3.0,4.2821,-2.3219,3.0,-3.3219,4.511,13,14,14,28,0,0,28
C3,1057_1007_128_32,28,27,27,2.0,4.4183,-0.0,4.4537,-2.4183,1.7736,-4.0875,3.0,-4.0159,2.9416,15,11,12,27,0,0,30
C3,1058_261_578_46,31,30,30,-0.0,4.3168,-0.0,4.2821,-3.7004,3.1699,-3.0,3.5466,-5.1566,4.3219,15,15,12,30,0,0,30
C3,1059_1007_393_32,30,29,29,-0.0,4.5367,1.0,4.3362,-2.29,3.1699,-2.5809,3.2219,-3.8836,4.0664,15,14,16,29,0,0,30
C3,105_734_1039_37,44,43,43,-0.0,4.5327,-0.0,4.5788,-3.585,3.9292,-3.4594,3.6645,-3.3922,5.3177,18,24,21,43,0,0,30
C3,1060_719_720_19,31,30,30,-0.0,4.2439,-0.0,3.8522,-4.0588,3.5466,-3.2776,3.1219,-5.3658,4.6147,13,17,15,30,0,0,29
C3,1061_1016_789_32,25,24,24,-0.0,3.9069,-0.0,3.9977,-3.585,3.585,-3.3219,3.9977,-5.9046,3.7694,10,12,11,24,0,0,28
