corpus,conv,n_turns,W,readings,band,measurable,maxabs_A,maxabs_B,maxabs_gap,omega_A_min,omega_A_max,omega_B_min,omega_B_max,absA_gt_absB,exceed_band_A,exceed_band_B,ratio_A,ratio_B,platform
C1,claude_90b6161d,1402,1,1401,,True,7.00352,5.79474,7.65171,-6.78129,7.00352,-5.79474,4.17108,958,,,,,Claude
C1,claude_90b6161d,1402,2,1400,8.4829,True,4.50176,2.40604,4.17273,-4.39065,4.50176,-2.40604,1.87756,940,0.0,0.0,0.53069,0.28364,Claude
C1,claude_90b6161d,1402,5,1397,3.7151,True,1.75995,0.86821,2.31401,-1.75995,1.53909,-0.82041,0.86821,923,0.0,0.0,0.47373,0.2337,Claude
C1,claude_90b6161d,1402,10,1392,1.9656,True,0.96284,0.42457,1.0673,-0.96284,0.76417,-0.35136,0.42457,964,0.0,0.0,0.48985,0.216,Claude
C1,claude_90b6161d,1402,20,1382,1.0347,True,0.40813,0.14071,0.38296,-0.40813,0.37413,-0.12979,0.14071,1007,0.0,0.0,0.39445,0.13599,Claude
C1,claude_90b6161d,1402,50,1352,0.4408,True,0.11735,0.05366,0.13304,-0.11735,0.11275,-0.04925,0.05366,990,0.0,0.0,0.26625,0.12175,Claude
C1,claude_3df4ba21,790,1,788,,True,6.72353,6.61643,7.33275,-5.98369,6.72353,-6.61643,4.88526,589,,,,,Claude
C1,claude_3df4ba21,790,2,787,8.4829,True,3.76617,2.70878,3.56025,-3.76617,3.25721,-2.70878,2.62806,586,0.0,0.0,0.44397,0.31932,Claude
C1,claude_3df4ba21,790,5,784,3.7151,True,1.47347,1.0469,1.4133,-1.47347,1.22926,-0.96469,1.0469,587,0.0,0.0,0.39662,0.2818,Claude
C1,claude_3df4ba21,790,10,779,1.9656,True,0.65897,0.36746,0.71488,-0.64607,0.65897,-0.34897,0.36746,576,0.0,0.0,0.33526,0.18695,Claude
C1,claude_3df4ba21,790,20,769,1.0347,True,0.39962,0.18783,0.38177,-0.37952,0.39962,-0.18783,0.17287,576,0.0,0.0,0.38622,0.18153,Claude
C1,claude_3df4ba21,790,50,739,0.4408,True,0.16031,0.07473,0.16782,-0.16031,0.1555,-0.06443,0.07473,578,0.0,0.0,0.36372,0.16955,Claude
C1,claude_9c24efbd,763,1,762,,True,6.8698,3.56241,7.10843,-6.49279,6.8698,-3.47956,3.56241,538,,,,,Claude
C1,claude_9c24efbd,763,2,761,8.4829,True,4.4349,1.92357,5.38973,-3.80578,4.4349,-1.48742,1.92357,506,0.0,0.0,0.52281,0.22676,Claude
C1,claude_9c24efbd,763,5,758,3.7151,True,1.90842,0.71136,1.88218,-1.90842,1.90815,-0.71136,0.6638,487,0.0,0.0,0.5137,0.19148,Claude
C1,claude_9c24efbd,763,10,753,1.9656,True,0.74877,0.3439,0.89452,-0.74877,0.74068,-0.31343,0.3439,478,0.0,0.0,0.38094,0.17496,Claude
C1,claude_9c24efbd,763,20,743,1.0347,True,0.35644,0.21857,0.44871,-0.3258,0.35644,-0.17987,0.21857,454,0.0,0.0,0.34449,0.21124,Claude
C1,claude_9c24efbd,763,50,713,0.4408,True,0.14637,0.08207,0.15735,-0.14637,0.14441,-0.07515,0.08207,419,0.0,0.0,0.33209,0.1862,Claude
C1,claude_b5123bc7,668,1,667,,True,5.32454,4.41965,6.26158,-5.28348,5.32454,-4.3175,4.41965,446,,,,,Claude
C1,claude_b5123bc7,668,2,666,8.4829,True,3.44607,1.90641,3.77737,-3.44607,3.33371,-1.90641,1.35856,458,0.0,0.0,0.40624,0.22474,Claude
C1,claude_b5123bc7,668,5,663,3.7151,True,1.42754,0.62766,1.33319,-1.42754,1.23572,-0.62265,0.62766,435,0.0,0.0,0.38426,0.16895,Claude
C1,claude_b5123bc7,668,10,658,1.9656,True,0.77005,0.43415,0.84032,-0.66558,0.77005,-0.43415,0.25251,431,0.0,0.0,0.39177,0.22088,Claude
C1,claude_b5123bc7,668,20,648,1.0347,True,0.31794,0.15375,0.31024,-0.31782,0.31794,-0.15375,0.13203,469,0.0,0.0,0.30728,0.1486,Claude
C1,claude_b5123bc7,668,50,618,0.4408,True,0.16057,0.05655,0.14522,-0.15053,0.16057,-0.04346,0.05655,454,0.0,0.0,0.36431,0.1283,Claude
C1,claude_0721f6bf,545,1,544,,True,5.5775,4.19821,6.16534,-5.2396,5.5775,-3.74324,4.19821,390,,,,,Claude
C1,claude_0721f6bf,545,2,543,8.4829,True,2.77199,1.76614,2.81027,-2.77199,2.36067,-1.37991,1.76614,351,0.0,0.0,0.32678,0.2082,Claude
C1,claude_0721f6bf,545,5,540,3.7151,True,1.05042,0.66828,1.21276,-1.05042,0.98937,-0.51909,0.66828,328,0.0,0.0,0.28275,0.17988,Claude
C1,claude_0721f6bf,545,10,535,1.9656,True,0.57708,0.31979,0.68986,-0.46161,0.57708,-0.30212,0.31979,294,0.0,0.0,0.29359,0.1627,Claude
C1,claude_0721f6bf,545,20,525,1.0347,True,0.27477,0.18635,0.25524,-0.2575,0.27477,-0.14232,0.18635,288,0.0,0.0,0.26556,0.1801,Claude
C1,claude_0721f6bf,545,50,495,0.4408,True,0.09233,0.08862,0.11638,-0.08931,0.09233,-0.06056,0.08862,263,0.0,0.0,0.20948,0.20106,Claude
C1,claude_1b4f6443,541,1,540,,True,5.92585,5.03557,6.55012,-4.56436,5.92585,-4.87785,5.03557,388,,,,,Claude
C1,claude_1b4f6443,541,2,539,8.4829,True,3.17777,2.13089,3.27935,-3.17777,2.40082,-1.97079,2.13089,374,0.0,0.0,0.37461,0.2512,Claude
C1,claude_1b4f6443,541,5,536,3.7151,True,1.61594,0.63133,1.54584,-1.61594,1.281,-0.55219,0.63133,382,0.0,0.0,0.43497,0.16994,Claude
C1,claude_1b4f6443,541,10,531,1.9656,True,0.54574,0.36631,0.50752,-0.49555,0.54574,-0.25013,0.36631,365,0.0,0.0,0.27765,0.18636,Claude
C1,claude_1b4f6443,541,20,521,1.0347,True,0.35045,0.1445,0.32987,-0.35045,0.25687,-0.12332,0.1445,373,0.0,0.0,0.3387,0.13966,Claude
C1,claude_1b4f6443,541,50,491,0.4408,True,0.1148,0.05057,0.11123,-0.0979,0.1148,-0.05057,0.04348,369,0.0,0.0,0.26046,0.11473,Claude
C1,claude_bea0ac10,440,1,439,,True,4.95925,4.60023,5.48975,-4.45062,4.95925,-4.47622,4.60023,323,,,,,Claude
C1,claude_bea0ac10,440,2,438,8.4829,True,2.50471,2.04931,2.49298,-1.97783,2.50471,-2.04931,1.70113,298,0.0,0.0,0.29527,0.24158,Claude
C1,claude_bea0ac10,440,5,435,3.7151,True,1.08828,0.5597,1.10106,-1.01085,1.08828,-0.55389,0.5597,307,0.0,0.0,0.29294,0.15066,Claude
