corpus,conv,n_turns,W,readings,band,measurable,maxabs_A,maxabs_B,maxabs_gap,omega_A_min,omega_A_max,omega_B_min,omega_B_max,absA_gt_absB,exceed_band_A,exceed_band_B,ratio_A,ratio_B
C2,s11,25,1,24,,True,0.5049,0.53077,0.67444,-0.40828,0.5049,-0.43699,0.53077,9,,,,
C2,s11,25,2,23,8.4829,True,0.61799,0.63688,0.63343,-0.56961,0.61799,-0.63688,0.34571,15,0.0,0.0,0.07285,0.07508
C2,s11,25,5,20,3.7151,True,0.3249,0.26628,0.42281,-0.27293,0.3249,-0.17018,0.26628,11,0.0,0.0,0.08745,0.07168
C2,s11,25,10,15,1.9656,True,0.11985,0.14203,0.17242,-0.11219,0.11985,-0.0576,0.14203,6,0.0,0.0,0.06097,0.07226
C2,s11,25,20,5,1.0347,False,0.125,0.06195,0.1293,-0.125,0.09437,-0.00165,0.06195,4,0.0,0.0,0.12081,0.05987
C2,s12,25,1,24,,True,0.67785,0.86464,1.14803,-0.67785,0.45191,-0.86464,0.58786,12,,,,
C2,s12,25,2,23,8.4829,True,0.68582,0.47853,0.94031,-0.68582,0.61805,-0.47853,0.47792,15,0.0,0.0,0.08085,0.05641
C2,s12,25,5,20,3.7151,True,0.3465,0.34733,0.38983,-0.3465,0.26004,-0.3088,0.34733,4,0.0,0.0,0.09327,0.09349
C2,s12,25,10,15,1.9656,True,0.14115,0.12624,0.2674,-0.14115,0.05451,-0.07362,0.12624,6,0.0,0.0,0.07181,0.06423
C2,s12,25,20,5,1.0347,False,0.13958,0.04117,0.17638,-0.13958,0.03816,-0.04117,0.0368,4,0.0,0.0,0.1349,0.03979
C2,s13,25,1,24,,True,0.68103,0.55865,0.66042,-0.68103,0.45785,-0.55865,0.48216,16,,,,
C2,s13,25,2,23,8.4829,True,0.49321,0.55211,0.86335,-0.49321,0.41299,-0.45037,0.55211,17,0.0,0.0,0.05814,0.06509
C2,s13,25,5,20,3.7151,True,0.24279,0.18469,0.31093,-0.24279,0.14886,-0.16591,0.18469,8,0.0,0.0,0.06535,0.04971
C2,s13,25,10,15,1.9656,True,0.17459,0.11795,0.21704,-0.17459,0.09908,-0.11795,0.08404,9,0.0,0.0,0.08882,0.06001
C2,s13,25,20,5,1.0347,False,0.08707,0.09589,0.04809,-0.08707,0.02782,-0.09589,0.0152,2,0.0,0.0,0.08415,0.09268
C2,s14,25,1,24,,True,0.68004,0.8262,0.91965,-0.60405,0.68004,-0.75425,0.8262,12,,,,
C2,s14,25,2,23,8.4829,True,0.51352,0.67457,0.51674,-0.51352,0.41591,-0.67457,0.37514,10,0.0,0.0,0.06054,0.07952
C2,s14,25,5,20,3.7151,True,0.14976,0.31399,0.2949,-0.14976,0.11475,-0.18798,0.31399,8,0.0,0.0,0.04031,0.08452
C2,s14,25,10,15,1.9656,True,0.20185,0.09658,0.22205,-0.20185,0.07285,-0.09658,0.08614,11,0.0,0.0,0.10269,0.04914
C2,s14,25,20,5,1.0347,False,0.13828,0.04899,0.10437,-0.13828,0.00657,-0.04899,0.04562,1,0.0,0.0,0.13364,0.04735
C2,s15,25,1,24,,True,0.81562,0.86527,0.98874,-0.81562,0.651,-0.35957,0.86527,14,,,,
C2,s15,25,2,23,8.4829,True,0.91228,0.67146,1.01869,-0.79875,0.91228,-0.40844,0.67146,14,0.0,0.0,0.10754,0.07915
C2,s15,25,5,20,3.7151,True,0.30843,0.29795,0.48456,-0.30843,0.29657,-0.29795,0.28165,13,0.0,0.0,0.08302,0.0802
C2,s15,25,10,15,1.9656,True,0.11715,0.11043,0.17282,-0.11715,0.08323,-0.05549,0.11043,9,0.0,0.0,0.0596,0.05618
C2,s15,25,20,5,1.0347,False,0.08063,0.06499,0.12691,-0.07699,0.08063,-0.02018,0.06499,4,0.0,0.0,0.07793,0.06281
C2,s16,25,1,24,,True,1.12636,0.50667,0.95314,-1.12636,0.55016,-0.49512,0.50667,14,,,,
C2,s16,25,2,23,8.4829,True,0.5876,0.40609,0.8854,-0.5635,0.5876,-0.29781,0.40609,9,0.0,0.0,0.06927,0.04787
