corpus,conv,n_turns,W,readings,band,measurable,maxabs_A,maxabs_B,maxabs_gap,omega_A_min,omega_A_max,omega_B_min,omega_B_max,absA_gt_absB,exceed_band_A,exceed_band_B,ratio_A,ratio_B,score
C3,0_550_1442_22,30,1,29,,True,4.57878,4.33496,8.5181,-3.82687,4.57878,-4.08746,4.33496,16,,,,,28
C3,0_550_1442_22,30,2,28,8.4829,True,1.72702,2.09364,3.38244,-1.72702,1.72234,-2.09364,2.08996,16,0.0,0.0,0.20359,0.24681,28
C3,0_550_1442_22,30,5,25,3.7151,True,0.58817,0.84595,1.10377,-0.58817,0.5246,-0.84595,0.68826,12,0.0,0.0,0.15832,0.22771,28
C3,0_550_1442_22,30,10,20,1.9656,True,0.28588,0.35115,0.51789,-0.28588,0.2758,-0.35115,0.31989,7,0.0,0.0,0.14544,0.17865,28
C3,0_550_1442_22,30,20,10,1.0347,True,0.13864,0.11397,0.17403,-0.13864,0.06214,-0.08668,0.11397,5,0.0,0.0,0.13399,0.11015,28
C3,1002_257_921_53,27,1,26,,True,4.14266,3.58496,6.84476,-4.14266,4.0374,-3.45943,3.58496,18,,,,,30
C3,1002_257_921_53,27,2,25,8.4829,True,1.99209,2.40368,4.06839,-1.99209,1.66471,-2.40368,2.40368,13,0.0,0.0,0.23484,0.28336,30
C3,1002_257_921_53,27,5,22,3.7151,True,1.07653,1.07329,1.89183,-1.07653,0.8,-1.07329,0.8153,9,0.0,0.0,0.28977,0.2889,30
C3,1002_257_921_53,27,10,17,1.9656,True,0.53218,0.33919,0.53829,-0.53218,0.4514,-0.33919,0.30136,12,0.0,0.0,0.27075,0.17257,30
C3,1002_257_921_53,27,20,7,1.0347,False,0.14961,0.21286,0.25513,-0.14961,0.10392,-0.21286,0.10798,4,0.0,0.0,0.14459,0.20572,30
C3,1004_807_419_53,25,1,24,,True,3.83659,3.32193,3.90689,-2.58496,3.83659,-2.32193,3.32193,16,,,,,28
C3,1004_807_419_53,25,2,23,8.4829,True,1.68249,2.10092,2.97498,-1.68249,1.66096,-2.10092,1.16096,12,0.0,0.0,0.19834,0.24767,28
C3,1004_807_419_53,25,5,20,3.7151,True,0.5979,0.68584,1.22326,-0.5979,0.42858,-0.47509,0.68584,9,0.0,0.0,0.16094,0.18461,28
C3,1004_807_419_53,25,10,15,1.9656,True,0.38416,0.33509,0.67924,-0.38416,0.24456,-0.33509,0.29509,10,0.0,0.0,0.19544,0.17048,28
C3,1004_807_419_53,25,20,5,1.0347,False,0.27522,0.21586,0.34372,-0.27522,-0.0138,-0.10919,0.21586,1,0.0,0.0,0.26599,0.20862,28
C3,1005_285_179_32,41,1,40,,True,4.16993,3.58496,4.6645,-4.16993,4.01137,-3.45943,3.58496,18,,,,,28
C3,1005_285_179_32,41,2,39,8.4829,True,3.08496,1.24958,3.27012,-3.08496,3.00568,-1.16096,1.24958,25,0.0,0.0,0.36367,0.14731,28
C3,1005_285_179_32,41,5,36,3.7151,True,0.98706,0.77829,1.15672,-0.98706,0.93671,-0.6598,0.77829,21,0.0,0.0,0.26569,0.2095,28
C3,1005_285_179_32,41,10,31,1.9656,True,0.60516,0.41949,0.87253,-0.50361,0.60516,-0.41949,0.40688,15,0.0,0.0,0.30788,0.21342,28
C3,1005_285_179_32,41,20,21,1.0347,True,0.24165,0.14109,0.29348,-0.24165,0.1929,-0.13899,0.14109,13,0.0,0.0,0.23355,0.13636,28
C3,1006_419_221_32,30,1,29,,True,3.70044,5.00175,5.32193,-3.70044,3.70044,-2.32386,5.00175,21,,,,,28
C3,1006_419_221_32,30,2,28,8.4829,True,1.85946,2.03831,2.16096,-1.16096,1.85946,-2.03831,1.67653,10,0.0,0.0,0.2192,0.24029,28
C3,1006_419_221_32,30,5,25,3.7151,True,0.77671,0.73214,1.0033,-0.55627,0.77671,-0.73214,0.71399,16,0.0,0.0,0.20907,0.19707,28
C3,1006_419_221_32,30,10,20,1.9656,True,0.4087,0.29619,0.38876,-0.26666,0.4087,-0.27431,0.29619,10,0.0,0.0,0.20793,0.15069,28
