record,side,cell,cos_median
claude_90b6161d,model,C1_compat_nonadj,0.324004590511322
claude_90b6161d,model,C2_lengthA,0.2763494849205017
claude_90b6161d,model,C3_dissimB,0.2760779857635498
claude_90b6161d,user,C1_compat_nonadj,0.12986864149570465
claude_90b6161d,user,C2_lengthA,0.1593051552772522
claude_90b6161d,user,C3_dissimB,0.16524183750152588
claude_3df4ba21,model,C1_compat_nonadj,0.2275770753622055
claude_3df4ba21,model,C2_lengthA,0.19673065841197968
claude_3df4ba21,model,C3_dissimB,0.18671377003192902
claude_3df4ba21,user,C1_compat_nonadj,0.14181743562221527
claude_3df4ba21,user,C2_lengthA,0.16372473537921906
claude_3df4ba21,user,C3_dissimB,0.15768395364284515
claude_9c24efbd,model,C1_compat_nonadj,0.2700999975204468
claude_9c24efbd,model,C2_lengthA,0.2166786938905716
claude_9c24efbd,model,C3_dissimB,0.20095691084861755
claude_9c24efbd,user,C1_compat_nonadj,0.13135674595832825
claude_9c24efbd,user,C2_lengthA,0.11926744878292084
claude_9c24efbd,user,C3_dissimB,0.11558285355567932
