corpus,record,side,N,k,eps,I,room,resid,cells,npc,symbol_ok,cell_ok,room_ok,saturated,screen,q95_global,pct_global,clear_global,strat_cover,eps_strat_sub,q95_strat,pct_strat,clear_strat,q95_local,pct_local,clear_local,q95_circ,pct_circ,clear_circ
C1,chatgpt_2b6e497c,model,104,2,-0.008809778332281476,-0.007038868077610894,0.7989835625964078,0.8060224306740187,8,13.0,True,True,True,False,PASS,0.03659,39.95,False,1.0,-0.008809778332281476,0.03436,41.65,False,0.03652,35.75,False,0.02157,30.55,False
C1,chatgpt_2b6e497c,user,104,2,0.011763006360386963,0.00948591539497956,0.806419303395455,0.7969333880004754,8,13.0,True,True,True,False,PASS,0.03387,79.5,False,1.0,0.011763006360386963,0.03851,81.75,False,0.03751,77.6,False,0.05131,77.65,False
C1,chatgpt_72ac2fe1,model,25,2,-0.04379286480877332,-0.03913206376715195,0.8935716797251492,0.9327037434923011,8,3.12,True,True,True,False,PASS,0.23723,23.0,False,1.0,-0.04379286480877332,0.18503,20.0,False,0.22075,22.1,False,0.08993,19.55,False
C1,chatgpt_72ac2fe1,user,25,2,-0.061783033714248065,-0.05635901508935559,0.9122086064925359,0.9685676215818915,8,3.12,True,True,True,False,PASS,0.21751,0.0,False,1.0,-0.061783033714248065,0.21696,0.0,False,0.22133,0.3,False,0.08378,0.0,False
C1,claude_05614dd8,model,245,3,0.012350285783056488,0.018530869398877714,1.5004405342830565,1.4819096648841787,27,9.07,True,True,True,False,PASS,0.02069,86.4,False,1.0,0.012350285783056488,0.02249,83.8,False,0.02838,69.05,False,0.03184,68.95,False
C1,claude_05614dd8,user,245,3,0.06110441758423044,0.06867469779606172,1.1238908823800815,1.0552161845840198,27,9.07,True,True,True,False,PASS,0.03136,99.65,True,1.0,0.06110441758423044,0.03356,99.75,True,0.03908,99.25,True,0.03833,98.6,True
C1,claude_0721f6bf,model,544,4,0.10742950174681468,0.19748266507173384,1.8382535696493563,1.6407709045776224,55,9.89,True,True,True,False,PASS,0.01316,100.0,True,1.0,0.10742950174681468,0.017,100.0,True,0.03148,100.0,True,0.02553,100.0,True
C1,claude_0721f6bf,user,544,4,0.10797442987659449,0.14822028368036766,1.3727350433780547,1.224514759697687,53,10.26,True,True,True,False,PASS,0.02077,100.0,True,1.0,0.10797442987659449,0.023,100.0,True,0.03306,100.0,True,0.03223,100.0,True
C1,claude_0b652ac5,model,25,2,-0.016133371671370644,-0.014717000490367171,0.9122086064925361,0.9269256069829033,8,3.12,True,True,True,False,PASS,0.20872,38.9,False,1.0,-0.016133371671370644,0.21962,38.4,False,0.20857,40.35,False,0.10936,59.95,False
C1,claude_0b652ac5,user,25,2,0.026297648985656126,0.015211050125176762,0.57841863101426,0.5632075808890833,7,3.57,True,True,True,False,PASS,0.2948,17.65,False,1.0,0.026297648985656126,0.3372,0.0,False,0.31488,17.55,False,0.00781,100.0,True
C1,claude_0ce5dc7e,model,29,2,-0.027307582449772022,-0.023353577731726527,0.8552048785234555,0.878558456255182,6,4.83,True,True,True,False,PASS,0.20009,30.65,False,1.0,-0.027307582449772022,0.10161,0.0,False,0.19898,27.8,False,0.3971,23.55,False
C1,claude_0ce5dc7e,user,29,2,0.3697643960263322,0.36187357247009433,0.9786598611412118,0.6167862886711175,6,4.83,True,True,True,False,PASS,0.14298,99.95,True,1.0,0.3697643960263322,0.17329,99.9,True,0.14364,99.95,True,0.22961,100.0,True
C1,claude_0e0f52e1,model,58,2,-0.0022132903791359615,-0.0013099918478747252,0.5918752732238091,0.5931852650716838,6,9.67,True,True,True,False,PASS,0.10365,31.95,False,1.0,-0.0022132903791359615,0.07341,44.6,False,0.1272,36.1,False,0.14954,36.05,False
