record,side,k,N,cell,eps_median,eps_lo,eps_hi,ref,rep_clear_rate,cos_median
C2_pooled_k3,model,3,184,C0_observed,0.174592991470942,0.174592991470942,0.174592991470942,0.07263405006832113,,
C2_pooled_k3,model,3,184,C1_compat_nonadj,0.02074906852316367,-0.003501415491536703,0.05967914762849215,0.07263405006832113,0.02,0.6190251708030701
C2_pooled_k3,model,3,184,C2_lengthA,0.07218018298688192,0.02621919214288273,0.11280697449730254,0.07263405006832113,0.49,0.4865064024925232
C2_pooled_k3,model,3,184,C3_dissimB,0.014740013127412924,-0.016730439799802474,0.047597229283350355,0.07263405006832113,0.0,0.3483281135559082
C2_pooled_k3,user,3,184,C0_observed,0.3734778475266006,0.3734778475266006,0.3734778475266006,0.052940181840057055,,
C2_pooled_k3,user,3,184,C1_compat_nonadj,0.013699836771215824,0.003658660566193972,0.027339491816466464,0.052940181840057055,0.0,0.5279378294944763
C2_pooled_k3,user,3,184,C2_lengthA,0.03850602729233881,-0.0004005657189268683,0.08369278121003101,0.052940181840057055,0.23,0.4786853492259979
C2_pooled_k3,user,3,184,C3_dissimB,0.004869096498037245,-0.014422502638606957,0.020351105935735733,0.052940181840057055,0.0,0.37272486090660095
C2_pooled_k2,model,2,184,C0_observed,0.21301572728325,0.21301572728325,0.21301572728325,0.028536347153019965,,
C2_pooled_k2,model,2,184,C1_compat_nonadj,0.011124352885678588,-0.010226567213995069,0.05679174355973341,0.028536347153019965,0.21,0.53619384765625
C2_pooled_k2,model,2,184,C2_lengthA,0.12475302235070773,0.06352718808997643,0.18340497127921465,0.028536347153019965,1.0,0.47169268131256104
C2_pooled_k2,model,2,184,C3_dissimB,0.02479520693093807,0.010064003095129953,0.0403904052049007,0.028536347153019965,0.28,0.36061421036720276
C2_pooled_k2,user,2,184,C0_observed,0.3774746033105661,0.3774746033105661,0.3774746033105661,0.026430707957527017,,
C2_pooled_k2,user,2,184,C1_compat_nonadj,0.027692531812665795,0.010073183472059563,0.060492239491071874,0.026430707957527017,0.54,0.4904078543186188
C2_pooled_k2,user,2,184,C2_lengthA,0.043287930740286626,0.008732461138378195,0.10305372174322931,0.026430707957527017,0.79,0.48394840955734253
C2_pooled_k2,user,2,184,C3_dissimB,-0.003633647725753677,-0.01292753091296623,0.040718517041970194,0.026430707957527017,0.13,0.37663403153419495
