games: 2171
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 2142.11it/s]
[50/2171] 98s
[100/2171] 194s
[150/2171] 291s
[200/2171] 392s
[250/2171] 491s
[300/2171] 589s
[350/2171] 689s
[400/2171] 788s
[450/2171] 889s
[500/2171] 990s
[550/2171] 1090s
[600/2171] 1188s
[650/2171] 1286s
[700/2171] 1381s
[750/2171] 1486s
[800/2171] 1583s
[850/2171] 1681s
[900/2171] 1779s
[950/2171] 1878s
[1000/2171] 1974s
[1050/2171] 2077s
[1100/2171] 2180s
[1150/2171] 2281s
[1200/2171] 2380s
[1250/2171] 2478s
[1300/2171] 2577s
[1350/2171] 2676s
[1400/2171] 2775s
[1450/2171] 2876s
[1500/2171] 2974s
[1550/2171] 3074s
[1600/2171] 3172s
[1650/2171] 3272s
[1700/2171] 3375s
[1750/2171] 3475s
[1800/2171] 3573s
[1850/2171] 3668s
[1900/2171] 3766s
[1950/2171] 3861s
[2000/2171] 3960s
[2050/2171] 4063s
[2100/2171] 4163s
[2150/2171] 4266s
done 4308.617553949356
