corpus,record,prefix,k,model,user,both
C1,chatgpt_2b6e497c,25,2,False,False,False
C1,chatgpt_2b6e497c,35,2,True,True,True
C1,chatgpt_2b6e497c,45,2,True,True,True
C1,chatgpt_2b6e497c,55,2,True,True,True
C1,chatgpt_2b6e497c,65,2,False,True,False
C1,chatgpt_2b6e497c,90,2,False,True,False
C1,chatgpt_72ac2fe1,25,2,False,False,False
C1,claude_05614dd8,25,2,False,False,False
C1,claude_05614dd8,35,2,False,True,False
C1,claude_05614dd8,45,2,False,False,False
C1,claude_05614dd8,55,2,False,False,False
C1,claude_05614dd8,65,2,True,False,False
C1,claude_05614dd8,90,2,True,False,False
C1,claude_05614dd8,120,2,True,False,False
C1,claude_05614dd8,200,3,True,True,True
C1,claude_0721f6bf,25,2,True,True,True
C1,claude_0721f6bf,35,2,False,True,False
C1,claude_0721f6bf,45,2,True,False,False
C1,claude_0721f6bf,55,2,False,False,False
C1,claude_0721f6bf,65,2,False,False,False
C1,claude_0721f6bf,90,2,False,True,False
C1,claude_0721f6bf,120,2,False,True,False
C1,claude_0721f6bf,200,3,True,True,True
C1,claude_0721f6bf,400,4,True,True,True
C1,claude_0b652ac5,25,2,False,False,False
C1,claude_0ce5dc7e,25,2,False,False,False
C1,claude_0e0f52e1,25,2,False,False,False
C1,claude_0e0f52e1,35,2,False,False,False
C1,claude_0e0f52e1,45,2,False,False,False
C1,claude_0e0f52e1,55,2,False,True,False
C1,claude_104c606a,25,2,False,False,False
C1,claude_104c606a,35,2,False,False,False
C1,claude_104c606a,45,2,True,False,False
C1,claude_104c606a,55,2,False,False,False
C1,claude_104c606a,65,2,True,False,False
C1,claude_104c606a,90,2,True,False,False
C1,claude_104c606a,120,2,True,False,False
C1,claude_104c606a,200,3,True,False,False
C1,claude_1723f49c,25,2,False,False,False
C1,claude_1723f49c,35,2,False,False,False
C1,claude_1723f49c,45,2,False,False,False
C1,claude_1723f49c,55,2,False,False,False
